"文書ID","複合語","複合語種別"
"126","いい","複合語-評価"
"126","帰り","複合語-事物-一般"
"126","グリーンラベル","複合語-事物-一般"
"126","ハーゲンダッツ","複合語-事物-一般"
"126","フォンダンショコラ","複合語-事物-一般"
"126","買う","複合語-行為"
"126","帰ろ","複合語-事物-一般"
"127","＠ＯｈｎｏＳａｔｏｓｈｉ＿ｂｏｔ","複合語-事物-一般"
"127","今日","複合語-事物-一般"
"127","グリーンラベル","複合語-事物-一般"
"127","美味い","複合語-評価"
"127","！","複合語-事物-一般"
"128","淡麗グリーン","複合語-事物-一般"
"128","おみやげ","複合語-事物-一般"
"129","今日","複合語-事物-一般"
"129","グリーンラベル","複合語-事物-一般"
"129","懸賞葉書","複合語-事物-一般"
"129","書く","複合語-行為"
"129","作業","複合語-事物-一般"
"129","５００ｍｌ","複合語-事物-一般"
"129","６缶ケース","複合語-事物-一般"
"129","１０９８－","複合語-事物-一般"
"129","７口分","複合語-事物-一般"
"129","買ってる","複合語-行為"
"129","８０００円","複合語-事物-一般"
"129","近い","複合語-評価"
"129","貢いでる","複合語-行為"
"129","計算","複合語-事物-一般"
"129","なる","複合語-行為"
"129","ＧＲＥＥＮパーカー","複合語-事物-一般"
"129","欲しい","複合語-評価"
"130","＠ｒｙｏｓｕｋｅ０１１９","複合語-事物-一般"
"130","Ｄｅａｔｈかね","複合語-事物-一般"
"130","グリーンラベル","複合語-事物-一般"
"130","我慢する","複合語-行為"
"130","！","複合語-事物-一般"
"131","シルクヱビス","複合語-事物-一般"
"131","ＣＭ","複合語-事物-一般"
"131","田中圭","複合語-事物-一般"
"131","井川遥","複合語-事物-一般"
"131","てる","複合語-行為"
"131","（（（（；゚Д゚）））））））！！好き","複合語-事物-一般"
"131","好き","複合語-事物-一般"
"131","でてる","複合語-行為"
"131","箱","複合語-事物-一般"
"131","買う","複合語-行為"
"131","する","複合語-行為"
"131","！？安易","複合語-事物-一般"
"131","私！","複合語-事物-一般"
"131","購買欲","複合語-事物-一般"
"131","もん！！グリーンラベル","複合語-事物-一般"
"131","シルクヱビス","複合語-事物-一般"
"131","した","複合語-行為"
"131","太る","複合語-行為"
"131","ます","複合語-行為"
"131","（","複合語-事物-一般"
"131","Д｀","複合語-事物-一般"
"131","）！","複合語-事物-一般"
"132","風呂上がり","複合語-事物-一般"
"132","最近","複合語-事物-一般"
"132","定番","複合語-事物-一般"
"132","梅チューブ","複合語-事物-一般"
"132","グリーンラベル","複合語-事物-一般"
"132","なう","複合語-行為"
"133","グリーンラベル","複合語-事物-一般"
"133","安い","複合語-評価"
"133","カロリー","複合語-事物-一般"
"133","低い","複合語-評価"
"133","うまい","複合語-評価"
"133","人生","複合語-事物-一般"
"133","救い","複合語-事物-一般"
"134","最近","複合語-事物-一般"
"134","淡麗グリーンラベル（生）","複合語-事物-一般"
"134","満足する","複合語-行為"
"134","ある","複合語-行為"
"135","今日","複合語-事物-一般"
"135","贅沢","複合語-事物-一般"
"135","する","複合語-行為"
"135","淡麗","複合語-事物-一般"
"135","グリーンラベル（＾","複合語-事物-一般"
"135","＾）","複合語-事物-一般"
"136","＠ｇｏｎｔａ５１０","複合語-事物-一般"
"136","寝てない","複合語-行為"
"136","！私","複合語-事物-一般"
"136","グリーンラベル一本","複合語-事物-一般"
"136","飲んだ","複合語-行為"
"136","ーさん","複合語-事物-一般"
"136","飲む","複合語-行為"
"136","！","複合語-事物-一般"
"137","淡麗グリーンラベル","複合語-事物-一般"
"137","終了した","複合語-行為"
"137","赤ワイン","複合語-事物-一般"
"137","いく","複合語-行為"
"137","（＃＾．＾＃）♪＠ＫｉｎｏｋｏＭｏｊｏ","複合語-事物-一般"
"138","あたりめ","複合語-事物-一般"
"138","つまむ","複合語-行為"
"138","淡麗グリーンラベル","複合語-事物-一般"
"138","飲んでる","複合語-行為"
"138","３月","複合語-事物-一般"
"138","なった","複合語-行為"
"138","１度カレー","複合語-事物-一般"
"138","作る","複合語-行為"
"138","思う","複合語-行為"
"138","家","複合語-事物-一般"
"138","ルー","複合語-事物-一般"
"138","カレー","複合語-事物-一般"
"138","作る","複合語-行為"
"138","の好き","複合語-事物-一般"
"139","＠ｐｉｋｋｏｒｏｈｉｍｅ","複合語-事物-一般"
"139","淡麗グリーンラベル","複合語-事物-一般"
"139","存在感","複合語-事物-一般"
"139","（＾ｏ＾）／","複合語-事物-一般"
"140","晩酌","複合語-事物-一般"
"140","発泡酒（グリーンラベル）！！","複合語-事物-一般"
"140","最近","複合語-事物-一般"
"140","ビール","複合語-事物-一般"
"140","気","複合語-事物-一般"
"140","ならない","複合語-行為"
"140","なった","複合語-行為"
"140","（＊","複合語-事物-一般"
"140","∇｀）","複合語-事物-一般"
"141","妻","複合語-事物-一般"
"141","寝てしまった","複合語-行為"
"141","たま","複合語-事物-一般"
"141","一人","複合語-事物-一般"
"141","飲む","複合語-行為"
"141","淡麗グリーンラベル","複合語-事物-一般"
"141","好き","複合語-事物-一般"
"141","！","複合語-事物-一般"
"142","＠ＭＩＹＡＭＯＳＡ","複合語-事物-一般"
"142","グリーンラベル","複合語-事物-一般"
"142","（","複合語-事物-一般"
"142","ω","複合語-事物-一般"
"142","）","複合語-事物-一般"
"143","キリン","複合語-事物-組織-団体"
"143","淡麗グリーン","複合語-事物-一般"
"143","おすすめ","複合語-事物-一般"
"143","します","複合語-行為"
"143","＜（＿","複合語-事物-一般"
"143","＿）＞","複合語-事物-一般"
"143","ＲＴ","複合語-事物-一般"
"143","＠ｗｉｎｏｕｈｅ：","複合語-事物-一般"
"143","メタボ回避","複合語-事物-一般"
"143","ためランニング後","複合語-事物-一般"
"143","金麦","複合語-事物-一般"
"143","飲まない","複合語-行為"
"143","心がけます","複合語-行為"
"144","＠ｉｍａｈａｙａｎａｍｉ","複合語-事物-一般"
"144","およる","複合語-行為"
"144","！イマ夫人","複合語-事物-一般"
"144","いう","複合語-行為"
"144","グリーンラベル","複合語-事物-一般"
"144","イメージ","複合語-事物-一般"
"144","ビール中毒","複合語-事物-一般"
"144","いう","複合語-行為"
"144","まちがいない","複合語-評価"
"144","さす","複合語-行為"
"144","ちゃん学級委員ファイト！","複合語-事物-一般"
"145","キリン","複合語-事物-組織-団体"
"145","濃い","複合語-評価"
"145","味糖質０","複合語-事物-一般"
"145","美味しかった","複合語-評価"
"145","グリーンラベル","複合語-事物-一般"
"145","糖質０","複合語-事物-一般"
"145","飲んでました","複合語-行為"
"145","切り替える","複合語-行為"
"145","～？","複合語-事物-一般"
"146","久々","複合語-事物-一般"
"146","飲んだ","複合語-行為"
"146","いい","複合語-評価"
"146","気分","複合語-事物-一般"
"146","なった","複合語-行為"
"146","淡麗グリーンラベル","複合語-事物-一般"
"146","柿","複合語-事物-一般"
"146","種","複合語-事物-一般"
"146","ポテチ","複合語-事物-一般"
"146","ある","複合語-行為"
"146","楽しい","複合語-評価"
"146","気分","複合語-事物-一般"
"146","なれます","複合語-行為"
"146","寝る","複合語-行為"
"146","起きた","複合語-行為"
"146","仕事","複合語-事物-一般"
"146","思う","複合語-行為"
"146","寝る","複合語-行為"
"146","イヤ","複合語-事物-一般"
"147","疲れた","複合語-行為"
"147","ぁ","複合語-事物-一般"
"147","腹ぺこ","複合語-事物-一般"
"147","麒麟グリーンラベル（＾ｏ＾）","複合語-事物-一般"
"148","＋グリーンラベル","複合語-事物-一般"
"148","ｗ","複合語-事物-一般"
"148","＠０ａｎｄ４２：","複合語-事物-一般"
"148","ペヤング＋納豆＋海苔＝金麦２缶","複合語-事物-一般"
"149","ひる","複合語-行為"
"149","ゃ","複合語-事物-一般"
"149","終電帰宅","複合語-事物-一般"
"149","ー","複合語-事物-一般"
"149","いる","複合語-行為"
"149","！","複合語-事物-一般"
"149","荒れる","複合語-行為"
"149","模様","複合語-事物-一般"
"149","続いた","複合語-行為"
"149","真っ直ぐ帰宅します","複合語-行為"
"149","明日","複合語-事物-一般"
"149","備える","複合語-行為"
"149","む","複合語-事物-一般"
"149","うち","複合語-事物-一般"
"149","グリーンラベル","複合語-事物-一般"
"149","！","複合語-事物-一般"
"150","グリーンラベル","複合語-事物-一般"
"150","思った","複合語-行為"
"150","ラガー","複合語-事物-一般"
"150","見つけた","複合語-行為"
"150","地味","複合語-事物-一般"
"150","うれしい","複合語-評価"
